ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2671550;1257550;3.3087728;1.4706438;8;6;0;2.553416;0;1.0950547;0;0;0;0;0;0.438364;0.6799982;0;1.0953559;0.444468051719961;0;0.77171088930615;0;0.330954938942922;0;0;0;0;0;0.132485373429085;0.205513717956095;0;0.331045969671898
2671650;1256650;6.4506878;0.9493422;9;3;0;0;0.5657343;0;0;0;0;3.966989;0;0;0;1.9179645;0;0.147169143730689;0;0;0.0877013920903132;0;0;0;0;0.614971476374969;0;0;0;0.297327131534718;0
2671650;1256950;12.4754721;10.1385021;16;3;0;0;0;0;0;0;0;0;0;0;0;0;12.4754721;0.812674824546319;0;0;0;0;0;0;0;0;0;0;0;0;1
2671650;1257050;6.6035652;3.2341931;10;4;0;0;0.4647248;0;0;0;0;0;4.96762;0;0;0;1.1712204;0.489764695592011;0;0;0.0703748332794533;0;0;0;0;0;0.752263337992029;0;0;0;0.177361828728518
2671650;1257150;4.7059411;1.2060033;9;3;0;0;0.1924249;0;0;1.9834945;0;0;0;0;0;0;2.5300217;0.256272502008153;0;0;0.040889780792199;0;0;0.421487319507675;0;0;0;0;0;0;0.537622899700126
2671650;1257250;21.2984334;15.6035359;24;5;0;16.5721582;3.8744894;0;1.5779654;0;14.9941928;0;0;0;0;0;0.851785800000002;0.732614254154486;0;0.778092824423415;0.181914290466077;0;0.0740883317737351;0;0.70400449264968;0;0;0;0;0;0.0399928851105078
2671750;1250650;5.6064834;1.5389303;9;9;0;3.6097383;0;1;2.6097383;0;0;0;0.2806814;0;0;1.7160637;0;0.274491189967672;0;0.643850706844151;0;0.178364926577683;0.465485780266468;0;0;0;0.0500637173027213;0;0;0.306085575853127;0
2671750;1251450;13.9636696;4.9950473;14;3;0;0;13.9636696;0;0;0;0;0;0;0;0;0;0;0.357717379677904;0;0;1;0;0;0;0;0;0;0;0;0;0
2671750;1256550;5.368262;1.9234963;8;4;0;0.8017679;3.3712683;0;0.8017679;0;0;0;0;0;0;0;1.1952258;0.358308946172895;0;0.149353347508002;0.627999956037913;0;0.149353347508002;0;0;0;0;0;0;0;0.222646696454085
2671750;1257050;6.0021929;1.0269512;9;3;0;0;0;0;0;0;0;2.9752417;1;0;0;2.0269512;0;0.171096000596715;0;0;0;0;0;0;0;0.495692449337974;0.166605775032655;0;0;0.33770177562937;0
