"","BFS","J_0_6","J_7_15","J_16_19","J_20_24","J_25_44","J_45_64","J_65_79","J_80P","MANN","FRAU","SCHWEIZ","AUSLAND","STICHTAG","TOT","GKODE_HEKTARMP","GKODN_HEKTARMP"
"68",2,0,0,1,0,1,4,5,3,7,7,14,0,2018-03-31,14,2676850,1236050
"69",194,7,6,4,5,23,23,17,8,48,45,78,15,2018-03-31,93,2694450,1246650
"70",200,1,2,5,4,11,24,13,5,28,37,55,10,2018-03-31,65,2690350,1253350
"71",27,0,0,0,0,2,5,9,0,9,7,14,2,2018-03-31,16,2690450,1282850
"72",261,24,22,7,15,72,65,12,3,107,113,156,64,2018-03-31,220,2682650,1251150
"73",295,17,24,2,0,53,19,1,0,59,57,48,68,2018-03-31,116,2687050,1235550
"74",195,4,1,0,1,9,14,9,8,21,25,41,5,2018-03-31,46,2692350,1241950
"75",137,3,10,4,2,22,33,16,4,43,51,73,21,2018-03-31,94,2685950,1237050
"76",230,8,9,3,2,21,23,5,3,39,35,65,9,2018-03-31,74,2696450,1260550
"77",261,6,1,0,1,51,3,0,0,36,26,21,41,2018-03-31,62,2681150,1249150
"78",251,3,1,3,1,10,12,3,2,14,21,34,1,2018-03-31,35,2675150,1252850
"79",177,1,11,13,7,2,36,30,10,52,58,104,6,2018-03-31,110,2700850,1247350
"80",244,5,7,1,3,29,25,12,3,44,41,34,51,2018-03-31,85,2673750,1251650
"81",261,10,3,4,1,39,25,15,5,42,60,85,17,2018-03-31,102,2681950,1250250
"82",136,1,3,2,6,20,16,0,2,30,20,33,17,2018-03-31,50,2683550,1238050
"83",94,7,2,1,2,23,11,10,2,30,28,29,29,2018-03-31,58,2671750,1257150
"84",261,8,9,2,4,16,23,7,3,36,36,46,26,2018-03-31,72,2684050,1249250
"85",261,7,0,0,6,39,19,4,0,45,30,44,31,2018-03-31,75,2681550,1246150
"86",230,14,9,2,4,33,15,5,2,37,47,70,14,2018-03-31,84,2696450,1262550
"87",51,2,6,2,3,4,17,10,0,22,22,43,1,2018-03-31,44,2683250,1261550
"88",161,0,6,2,0,1,5,6,0,9,11,20,0,2018-03-31,20,2687650,1244450
"89",52,0,1,4,2,3,12,6,1,14,15,25,4,2018-03-31,29,2690550,1255150
"90",121,15,15,6,5,43,22,6,10,61,61,64,58,2018-03-31,122,2703650,1243450
"91",25,0,2,0,0,2,12,4,3,9,14,22,1,2018-03-31,23,2688350,1280450
"92",261,0,4,2,2,2,11,6,3,12,18,22,8,2018-03-31,30,2684450,1248850
"93",62,5,1,4,3,16,11,9,4,30,23,44,9,2018-03-31,53,2687150,1256650
"94",94,3,11,4,7,22,21,8,3,42,37,32,47,2018-03-31,79,2671550,1256750
"95",261,6,22,12,8,12,31,14,5,55,55,106,4,2018-03-31,110,2682950,1242950
"96",261,8,5,8,5,20,32,14,2,45,49,86,8,2018-03-31,94,2681550,1253250
"97",224,5,3,1,1,32,5,0,0,23,24,41,6,2018-03-31,47,2690350,1263550
"98",198,7,5,1,2,22,23,5,1,31,35,46,20,2018-03-31,66,2696650,1244450
"99",141,4,4,0,4,12,12,2,0,22,16,29,9,2018-03-31,38,2685350,1238550
"100",230,10,9,4,15,97,28,4,0,89,78,140,27,2018-03-31,167,2699250,1262250
"101",199,5,1,1,6,17,13,8,1,29,23,42,10,2018-03-31,52,2692650,1249150
"102",241,7,1,0,0,21,6,12,5,19,33,37,15,2018-03-31,52,2675450,1243450
"103",261,5,3,1,1,14,14,7,3,26,22,45,3,2018-03-31,48,2678650,1247850
"104",3,1,0,0,1,10,11,5,0,13,15,26,2,2018-03-31,28,2677850,1240650
"105",261,6,4,1,4,49,39,11,2,64,52,72,44,2018-03-31,116,2684750,1248450
"106",297,3,4,3,6,12,9,2,1,19,21,28,12,2018-03-31,40,2708050,1247550
"107",161,0,1,3,1,8,7,3,1,15,9,13,11,2018-03-31,24,2685350,1243750
"108",66,4,8,3,8,14,12,4,6,30,29,35,24,2018-03-31,59,2685150,1253950
"109",261,7,16,6,15,76,63,25,3,115,96,153,58,2018-03-31,211,2683550,1248950
"110",153,5,6,3,2,12,21,9,3,34,27,57,4,2018-03-31,61,2701050,1234350
"111",22,2,2,0,3,8,15,3,1,19,15,33,1,2018-03-31,34,2690950,1278850
"112",244,0,0,2,2,1,6,3,0,4,10,14,0,2018-03-31,14,2674050,1252550
"113",261,0,3,1,1,13,5,40,17,36,44,63,17,2018-03-31,80,2687850,1245650
"114",176,9,5,0,1,14,10,3,1,21,22,29,14,2018-03-31,43,2693050,1254250
"115",53,11,15,8,2,31,42,30,0,60,79,110,29,2018-03-31,139,2683250,1263550
"116",248,0,0,0,0,1,7,9,0,8,9,12,5,2018-03-31,17,2676950,1247350
"117",64,0,3,1,2,6,11,6,3,14,18,26,6,2018-03-31,32,2690450,1257050
"118",64,6,4,2,3,16,10,6,0,23,24,41,6,2018-03-31,47,2690250,1256650
"119",120,6,12,9,15,37,32,8,9,59,69,50,78,2018-03-31,128,2711750,1237050
"120",261,3,7,6,8,43,23,8,6,55,49,55,49,2018-03-31,104,2685150,1250950
"121",67,4,7,2,2,9,14,4,0,23,19,39,3,2018-03-31,42,2682550,1274650
"122",84,6,5,2,3,24,25,4,0,36,33,39,30,2018-03-31,69,2675550,1255250
"123",295,1,3,2,0,6,14,12,7,27,18,35,10,2018-03-31,45,2687350,1234250
"124",52,14,15,6,11,67,27,4,0,77,67,106,38,2018-03-31,144,2688850,1255650
"125",198,5,19,4,13,18,47,7,0,49,64,99,14,2018-03-31,113,2697150,1244650
"126",67,5,6,2,7,19,23,10,4,39,37,60,16,2018-03-31,76,2682550,1273950
"127",62,1,7,1,1,3,12,9,1,18,17,34,1,2018-03-31,35,2685950,1258050
"128",298,0,5,0,0,3,8,5,1,11,11,19,3,2018-03-31,22,2701650,1263950
"129",72,1,2,0,0,6,7,3,1,11,9,19,1,2018-03-31,20,2684550,1260450
"130",261,3,1,2,3,45,20,11,2,39,48,54,33,2018-03-31,87,2682450,1243050
"131",261,3,1,0,1,12,10,1,1,14,15,12,17,2018-03-31,29,2681550,1242550
"132",261,15,10,2,3,46,31,10,8,56,69,81,44,2018-03-31,125,2684050,1250950
"133",27,0,1,1,1,3,3,0,2,5,6,11,0,2018-03-31,11,2690650,1282850
"134",152,0,4,1,1,0,7,3,0,9,7,11,5,2018-03-31,16,2688850,1239150
"135",72,3,3,7,4,13,17,7,1,25,30,43,12,2018-03-31,55,2683750,1260950
"136",53,3,7,2,1,20,17,14,1,31,34,49,16,2018-03-31,65,2683150,1263350
"137",191,11,14,5,4,29,37,16,10,59,67,96,30,2018-03-31,126,2689650,1251250
"138",261,6,3,0,0,19,12,7,1,23,25,28,20,2018-03-31,48,2683050,1248950
"139",141,3,17,7,8,19,52,19,6,59,72,109,22,2018-03-31,131,2683750,1237450
"140",261,34,6,0,4,112,22,6,0,107,77,127,57,2018-03-31,184,2679350,1248250
"141",34,1,6,0,0,6,9,5,0,16,11,25,2,2018-03-31,27,2687850,1280750
"142",37,9,2,0,2,22,23,9,2,36,33,54,15,2018-03-31,69,2697250,1274250
"143",96,7,4,2,5,14,7,3,0,22,20,27,15,2018-03-31,42,2677150,1253850
"144",156,3,2,0,0,5,9,2,52,18,55,68,5,2018-03-31,73,2690850,1236150
"145",173,1,5,0,0,4,8,5,0,13,10,23,0,2018-03-31,23,2704850,1247550
