"","BFS","J_0_6","J_7_15","J_16_19","J_20_24","J_25_44","J_45_64","J_65_79","J_80P","MANN","FRAU","SCHWEIZ","AUSLAND","STICHTAG","TOT","GKODE_HEKTARMP","GKODN_HEKTARMP"
"5929",118,5,10,1,2,20,15,7,4,37,27,43,21,2018-03-31,64,2706250,1234550
"5930",53,11,7,6,8,39,26,25,2,61,63,81,43,2018-03-31,124,2683350,1264450
"5931",56,0,1,2,5,3,10,2,0,12,11,22,1,2018-03-31,23,2687850,1261750
"5932",181,4,3,6,2,13,11,5,0,24,20,20,24,2018-03-31,44,2706150,1253050
"5933",3,14,6,0,0,39,23,12,5,42,57,78,21,2018-03-31,99,2677950,1242250
"5934",247,1,1,0,3,24,6,0,0,20,15,15,20,2018-03-31,35,2676150,1250750
"5935",161,3,4,1,3,4,10,7,5,19,18,34,3,2018-03-31,37,2686250,1243950
"5936",230,3,9,7,11,15,25,8,2,41,39,67,13,2018-03-31,80,2700250,1259350
"5937",199,2,3,2,1,9,6,6,0,13,16,22,7,2018-03-31,29,2693150,1249350
"5938",295,0,2,1,0,0,8,2,3,7,9,16,0,2018-03-31,16,2689050,1234250
"5939",83,1,0,2,23,38,8,0,0,49,23,2,70,2018-03-31,72,2674450,1256350
"5940",227,3,1,0,2,17,24,9,0,27,29,55,1,2018-03-31,56,2697350,1265150
"5941",71,2,0,0,4,7,9,2,1,13,12,24,1,2018-03-31,25,2680350,1273150
"5942",53,2,2,1,3,23,12,8,0,32,19,41,10,2018-03-31,51,2682950,1263750
"5943",295,2,7,2,3,7,15,11,2,21,28,41,8,2018-03-31,49,2688450,1229950
"5944",113,2,7,0,7,5,15,4,0,24,16,37,3,2018-03-31,40,2708450,1237250
"5945",117,14,15,2,7,48,27,21,10,70,74,129,15,2018-03-31,144,2705950,1240050
"5946",197,0,0,2,5,3,0,2,0,11,1,2,10,2018-03-31,12,2692350,1248750
"5947",199,21,14,2,8,58,34,8,2,73,74,136,11,2018-03-31,147,2693850,1251350
"5948",54,9,8,4,3,18,26,10,5,44,39,75,8,2018-03-31,83,2688750,1252650
"5949",261,4,5,2,2,22,25,16,15,48,43,73,18,2018-03-31,91,2680250,1250950
"5950",191,5,13,3,6,45,22,11,1,52,54,55,51,2018-03-31,106,2689150,1250350
"5951",261,8,1,1,4,37,38,7,0,52,44,69,27,2018-03-31,96,2682050,1249250
"5952",159,19,0,3,0,27,15,12,2,37,41,55,23,2018-03-31,78,2693750,1235650
"5953",261,0,1,0,1,9,5,1,0,6,11,9,8,2018-03-31,17,2681250,1248350
"5954",227,5,1,1,4,6,12,5,2,20,16,30,6,2018-03-31,36,2697250,1265550
"5955",142,2,8,7,3,17,17,24,5,38,45,69,14,2018-03-31,83,2690450,1233650
"5956",200,2,2,1,1,6,13,1,2,14,14,28,0,2018-03-31,28,2690850,1252350
"5957",261,4,6,1,9,31,15,0,3,41,28,44,25,2018-03-31,69,2680350,1250550
"5958",261,6,9,48,40,33,9,2,0,120,27,5,142,2018-03-31,147,2683850,1251750
"5959",131,7,7,3,4,25,20,20,5,46,45,67,24,2018-03-31,91,2682950,1240950
"5960",121,1,4,0,2,4,4,10,0,11,14,24,1,2018-03-31,25,2702350,1242450
"5961",230,1,6,2,5,10,37,9,1,33,38,59,12,2018-03-31,71,2695050,1259650
"5962",138,1,4,0,2,4,8,17,11,23,24,39,8,2018-03-31,47,2694750,1229150
"5963",261,4,3,1,2,8,13,12,6,23,26,37,12,2018-03-31,49,2680150,1250850
"5964",7,1,5,0,1,3,7,0,0,9,8,16,1,2018-03-31,17,2677550,1230850
"5965",223,0,2,0,1,1,5,12,1,12,10,22,0,2018-03-31,22,2691850,1264450
"5966",261,3,14,7,7,17,23,4,2,35,42,70,7,2018-03-31,77,2682850,1253450
"5967",243,14,8,7,6,44,43,29,26,87,90,135,42,2018-03-31,177,2672550,1250650
"5968",243,19,26,6,24,68,47,18,5,107,106,56,157,2018-03-31,213,2672150,1251150
"5969",82,1,3,1,0,4,8,6,0,12,11,20,3,2018-03-31,23,2672550,1258150
"5970",230,11,14,3,8,33,21,3,6,42,57,75,24,2018-03-31,99,2695950,1260450
"5971",219,2,5,3,8,7,16,0,0,21,20,33,8,2018-03-31,41,2702750,1262750
"5972",60,2,1,2,6,5,9,9,3,19,18,29,8,2018-03-31,37,2680750,1262350
"5973",138,5,2,4,4,21,20,11,7,34,40,55,19,2018-03-31,74,2696250,1228850
"5974",156,1,0,0,0,2,7,2,0,7,5,10,2,2018-03-31,12,2689650,1236650
"5975",191,3,16,14,7,14,50,4,0,53,55,82,26,2018-03-31,108,2689850,1251450
"5976",156,0,6,7,7,7,19,1,0,20,27,40,7,2018-03-31,47,2691250,1236750
"5977",1,2,2,2,1,4,9,6,0,12,14,26,0,2018-03-31,26,2679050,1236150
"5978",112,4,2,3,0,2,4,2,3,11,9,15,5,2018-03-31,20,2702850,1235050
"5979",113,2,6,8,8,3,25,0,0,31,21,50,2,2018-03-31,52,2705950,1236250
"5980",141,5,3,0,0,13,7,2,2,13,19,8,24,2018-03-31,32,2686050,1237650
"5981",227,0,0,1,2,2,2,2,2,4,7,11,0,2018-03-31,11,2697050,1265250
"5982",198,2,1,0,1,2,4,7,3,12,8,20,0,2018-03-31,20,2698850,1242550
"5983",230,0,6,2,4,9,12,17,16,37,29,57,9,2018-03-31,66,2699450,1260750
"5984",91,6,6,1,0,17,11,11,6,28,30,56,2,2018-03-31,58,2670650,1261950
"5985",261,4,11,3,4,6,23,9,2,28,34,59,3,2018-03-31,62,2680550,1250450
"5986",213,3,2,1,5,11,12,10,0,22,22,43,1,2018-03-31,44,2692450,1259350
"5987",261,4,5,2,1,24,19,5,0,25,35,43,17,2018-03-31,60,2683150,1248950
"5988",261,1,6,3,1,7,5,4,1,13,15,26,2,2018-03-31,28,2684050,1249850
"5989",3,1,4,0,2,7,11,17,5,23,24,43,4,2018-03-31,47,2677850,1240950
"5990",140,0,2,2,4,7,11,4,2,15,17,27,5,2018-03-31,32,2691550,1227350
"5991",261,1,4,0,2,6,8,2,3,9,17,24,2,2018-03-31,26,2680850,1249850
"5992",230,3,2,0,0,8,19,13,1,22,24,38,8,2018-03-31,46,2698950,1265050
"5993",161,5,1,1,3,8,7,2,0,13,14,15,12,2018-03-31,27,2687850,1244850
"5994",194,8,3,3,2,31,21,28,13,43,66,97,12,2018-03-31,109,2693650,1247550
"5995",199,3,1,0,0,6,9,5,0,10,14,23,1,2018-03-31,24,2696750,1249050
"5996",155,6,2,2,1,12,11,3,1,19,19,32,6,2018-03-31,38,2694450,1235250
"5997",230,1,1,2,7,46,38,5,2,42,60,88,14,2018-03-31,102,2697350,1261750
"5998",261,7,9,5,2,29,16,12,4,35,49,60,24,2018-03-31,84,2684950,1247750
"5999",4,0,2,0,0,3,8,3,1,10,7,12,5,2018-03-31,17,2684550,1232750
"6000",244,2,3,0,1,4,9,15,0,16,18,33,1,2018-03-31,34,2673950,1252450
"6001",261,11,7,3,7,64,18,7,0,70,47,47,70,2018-03-31,117,2683250,1253250
"6002",230,2,6,2,2,23,19,8,1,32,31,42,21,2018-03-31,63,2699450,1260250
"6003",31,4,20,4,0,22,12,2,2,31,35,62,4,2018-03-31,66,2693550,1268450
"6004",53,4,0,0,3,6,9,11,0,17,16,32,1,2018-03-31,33,2683850,1264450
"6005",66,1,8,4,2,4,12,4,0,18,17,28,7,2018-03-31,35,2686250,1253450
"6006",296,0,5,1,0,2,8,3,0,8,11,17,2,2018-03-31,19,2694350,1252850
"6007",62,5,4,0,8,24,11,7,0,34,25,31,28,2018-03-31,59,2686350,1255750
"6008",142,0,1,0,0,6,10,0,0,12,5,11,6,2018-03-31,17,2694450,1231050
"6009",230,3,4,0,1,9,7,23,2,25,24,46,3,2018-03-31,49,2700250,1259950
"6010",9,1,3,2,3,9,17,15,4,28,26,46,8,2018-03-31,54,2677250,1233350
"6011",86,2,3,7,4,5,15,2,1,17,22,33,6,2018-03-31,39,2676150,1259550
"6012",64,7,3,3,0,22,24,6,1,33,33,54,12,2018-03-31,66,2691450,1256050
"6013",10,5,12,9,4,11,23,12,1,36,41,70,7,2018-03-31,77,2673950,1235150
"6014",198,6,1,0,3,16,6,5,3,17,23,35,5,2018-03-31,40,2696450,1245250
"6015",261,1,3,2,1,8,20,6,2,17,26,39,4,2018-03-31,43,2682950,1242750
"6016",261,0,6,0,18,29,14,9,3,46,33,44,35,2018-03-31,79,2683350,1252550
"6017",298,1,7,3,2,2,13,3,6,19,18,36,1,2018-03-31,37,2701350,1265050
"6018",261,5,5,2,5,38,12,6,2,44,31,37,38,2018-03-31,75,2682550,1243450
"6019",261,3,4,0,0,16,16,8,6,23,30,41,12,2018-03-31,53,2679550,1250650
"6020",180,0,0,1,2,3,16,12,4,21,17,38,0,2018-03-31,38,2699850,1254750
"6021",96,1,0,0,3,4,7,7,2,11,13,18,6,2018-03-31,24,2677450,1253750
"6022",137,1,2,1,2,12,12,6,5,21,20,33,8,2018-03-31,41,2686050,1237350
"6023",82,1,2,4,3,6,10,10,2,18,20,38,0,2018-03-31,38,2672450,1258350
"6024",195,2,0,0,1,2,4,7,1,9,8,14,3,2018-03-31,17,2691650,1243150
"6025",59,0,3,1,1,2,7,0,0,6,8,13,1,2018-03-31,14,2681250,1264150
"6026",296,5,3,1,0,7,3,0,0,9,10,18,1,2018-03-31,19,2698450,1256650
"6027",136,3,0,1,3,45,25,20,7,48,56,63,41,2018-03-31,104,2683250,1238550
"6028",56,9,9,4,5,23,22,10,8,44,46,67,23,2018-03-31,90,2687150,1262950
"6029",227,2,9,3,1,6,13,2,0,21,15,36,0,2018-03-31,36,2697450,1266450
"6030",151,4,1,0,0,12,8,1,0,10,16,14,12,2018-03-31,26,2687050,1240150
"6031",65,2,3,0,1,9,16,17,0,27,21,48,0,2018-03-31,48,2689050,1260450
"6032",118,5,5,4,3,14,26,8,2,34,33,53,14,2018-03-31,67,2707250,1234350
"6033",72,1,0,0,2,8,7,2,1,11,10,18,3,2018-03-31,21,2684650,1259050
"6034",261,2,5,0,1,10,11,3,1,19,14,28,5,2018-03-31,33,2681250,1247050
"6035",153,1,15,4,3,24,21,3,0,43,28,51,20,2018-03-31,71,2701450,1233650
"6036",151,5,6,0,0,6,10,3,2,16,16,21,11,2018-03-31,32,2687950,1239450
"6037",261,4,4,1,1,26,16,14,17,37,46,53,30,2018-03-31,83,2685150,1248250
"6038",131,1,6,7,4,12,18,7,10,26,39,57,8,2018-03-31,65,2681950,1240550
"6039",261,1,8,0,2,2,13,9,3,19,19,20,18,2018-03-31,38,2684950,1247850
"6040",214,0,4,1,1,2,5,2,0,7,8,15,0,2018-03-31,15,2696050,1270050
"6041",111,3,9,4,1,12,15,8,3,25,30,44,11,2018-03-31,55,2706150,1244050
"6042",131,2,0,1,4,7,19,5,0,19,19,34,4,2018-03-31,38,2681650,1240150
"6043",296,0,2,3,1,1,7,10,2,11,15,25,1,2018-03-31,26,2696250,1252250
"6044",230,1,2,0,1,3,9,10,1,12,15,25,2,2018-03-31,27,2700550,1260650
"6045",158,5,11,4,5,10,14,17,0,33,33,64,2,2018-03-31,66,2700050,1232950
"6046",231,6,14,11,6,18,27,3,0,45,40,70,15,2018-03-31,85,2701050,1256950
"6047",261,0,2,0,0,1,10,7,2,12,10,13,9,2018-03-31,22,2682950,1246550
"6048",159,0,0,0,0,0,0,3,9,3,9,12,0,2018-03-31,12,2694050,1235750
"6049",173,0,2,3,2,2,7,16,1,18,15,32,1,2018-03-31,33,2705150,1246950
"6050",135,5,1,2,0,19,16,5,7,26,29,34,21,2018-03-31,55,2683050,1242850
"6051",154,4,9,1,5,29,25,11,2,40,46,58,28,2018-03-31,86,2686250,1241250
"6052",295,1,1,6,9,7,24,4,3,31,24,54,1,2018-03-31,55,2687550,1234350
"6053",230,7,4,3,4,32,11,3,0,35,29,38,26,2018-03-31,64,2694950,1261550
"6054",37,0,1,1,1,2,3,4,2,7,7,12,2,2018-03-31,14,2696450,1274550
"6055",161,2,7,0,1,5,12,8,2,20,17,26,11,2018-03-31,37,2685450,1244350
"6056",199,1,0,2,5,7,16,2,4,20,17,36,1,2018-03-31,37,2694850,1249750
"6057",261,2,0,0,0,10,12,7,1,14,18,16,16,2018-03-31,32,2688050,1245650
"6058",230,0,2,1,2,9,9,11,3,18,19,35,2,2018-03-31,37,2698150,1261950
"6059",261,7,9,3,5,21,33,35,11,59,65,109,15,2018-03-31,124,2680650,1251950
"6060",64,1,8,2,3,15,17,4,1,25,26,46,5,2018-03-31,51,2690750,1257850
"6061",230,4,16,11,18,27,46,6,2,67,63,95,35,2018-03-31,130,2700150,1260150
"6062",295,0,0,3,1,3,6,1,0,6,8,13,1,2018-03-31,14,2689150,1234250
"6063",250,0,0,0,1,2,4,3,10,8,12,20,0,2018-03-31,20,2674850,1248750
"6064",136,3,5,4,1,6,9,1,0,13,16,24,5,2018-03-31,29,2682650,1237150
"6065",297,1,1,0,1,2,9,6,0,12,8,17,3,2018-03-31,20,2706850,1249950
"6066",160,5,9,2,4,14,22,8,1,31,34,40,25,2018-03-31,65,2689650,1242850
"6067",85,2,0,0,0,5,9,5,1,11,11,21,1,2018-03-31,22,2672750,1255550
"6068",136,4,7,2,1,15,7,7,1,21,23,30,14,2018-03-31,44,2682950,1238150
"6069",4,1,2,3,10,4,26,8,1,31,24,52,3,2018-03-31,55,2683950,1231250
"6070",72,1,3,2,1,8,8,3,4,16,14,27,3,2018-03-31,30,2684650,1259150
"6071",120,7,3,4,8,28,18,15,6,43,46,59,30,2018-03-31,89,2712050,1237050
"6072",58,2,4,0,1,9,11,2,2,18,13,29,2,2018-03-31,31,2680350,1268050
"6073",10,2,3,1,2,6,7,0,2,9,14,12,11,2018-03-31,23,2675150,1235350
"6074",231,0,2,3,2,6,17,13,3,23,23,43,3,2018-03-31,46,2700950,1257350
"6075",261,4,5,4,6,13,22,16,1,35,36,61,10,2018-03-31,71,2677950,1249650
"6076",142,3,4,1,4,36,25,12,8,49,44,72,21,2018-03-31,93,2693350,1231650
"6077",297,2,0,4,1,8,20,4,1,23,17,35,5,2018-03-31,40,2707250,1249650
"6078",295,4,19,0,0,7,15,3,0,24,24,34,14,2018-03-31,48,2689350,1234050
"6079",3,11,6,3,2,38,13,4,2,39,40,51,28,2018-03-31,79,2677850,1240750
"6080",230,1,0,1,0,3,5,5,3,7,11,18,0,2018-03-31,18,2698950,1262750
"6081",242,2,0,1,1,1,5,3,1,5,9,14,0,2018-03-31,14,2676350,1245550
"6082",298,1,0,0,0,5,7,4,1,9,9,18,0,2018-03-31,18,2703950,1266350
"6083",56,1,11,1,0,26,10,7,2,27,31,44,14,2018-03-31,58,2687050,1262750
"6084",198,4,6,1,0,20,11,5,2,20,29,46,3,2018-03-31,49,2696250,1244850
"6085",151,1,9,1,2,7,27,3,1,30,21,44,7,2018-03-31,51,2687650,1239350
"6086",198,4,6,8,3,8,22,4,1,31,25,47,9,2018-03-31,56,2697650,1244850
"6087",131,2,6,1,1,3,9,3,0,12,13,25,0,2018-03-31,25,2683050,1240750
"6088",67,0,1,2,1,2,10,6,0,12,10,19,3,2018-03-31,22,2682350,1273850
"6089",160,3,6,4,1,9,19,10,4,22,34,44,12,2018-03-31,56,2689450,1243550
"6090",97,6,7,2,2,19,11,4,1,27,25,41,11,2018-03-31,52,2682050,1256650
"6091",40,0,0,1,1,3,7,0,0,8,4,12,0,2018-03-31,12,2693050,1278750
"6092",159,0,4,5,5,5,20,5,4,19,29,46,2,2018-03-31,48,2694350,1236250
"6093",131,2,0,0,0,4,4,7,2,8,11,18,1,2018-03-31,19,2681850,1239250
"6094",243,0,2,2,2,3,14,14,6,19,24,42,1,2018-03-31,43,2672650,1249750
"6095",9,5,4,1,2,10,10,4,0,17,19,33,3,2018-03-31,36,2679150,1231050
"6096",52,15,42,18,11,65,40,2,1,95,99,170,24,2018-03-31,194,2689050,1255350
"6097",62,1,0,0,0,11,3,3,0,11,7,12,6,2018-03-31,18,2685950,1257950
"6098",261,1,0,2,2,9,6,4,1,14,11,17,8,2018-03-31,25,2679350,1250650
"6099",230,3,12,4,2,16,23,8,2,36,34,57,13,2018-03-31,70,2695050,1262650
"6100",261,2,3,0,0,9,7,4,3,12,16,21,7,2018-03-31,28,2678650,1249150
"6101",160,3,3,4,6,2,8,1,0,13,14,18,9,2018-03-31,27,2689150,1243650
"6102",191,1,5,1,1,5,10,11,1,19,16,28,7,2018-03-31,35,2689150,1249450
"6103",295,2,2,1,0,3,6,1,1,6,10,15,1,2018-03-31,16,2688450,1234650
"6104",26,3,2,0,2,15,11,3,0,19,17,28,8,2018-03-31,36,2691050,1269850
"6105",261,0,0,1,2,3,6,3,2,10,7,13,4,2018-03-31,17,2685350,1247150
"6106",157,1,2,0,0,3,3,5,0,9,5,12,2,2018-03-31,14,2697250,1236650
"6107",142,3,0,0,3,4,5,0,0,6,9,14,1,2018-03-31,15,2690650,1231350
"6108",135,8,2,2,0,10,14,1,0,17,20,21,16,2018-03-31,37,2683150,1242350
"6109",138,0,0,1,0,0,4,4,2,6,5,10,1,2018-03-31,11,2696150,1228650
"6110",199,1,1,1,2,6,10,3,1,12,13,25,0,2018-03-31,25,2694450,1249850
"6111",33,2,8,0,1,1,8,0,0,11,9,16,4,2018-03-31,20,2693850,1272550
"6112",134,0,0,1,0,2,5,10,1,9,10,15,4,2018-03-31,19,2693050,1225750
"6113",261,7,5,1,1,20,10,16,3,32,31,47,16,2018-03-31,63,2687550,1245750
"6114",244,2,4,0,0,4,4,4,1,9,10,18,1,2018-03-31,19,2672950,1252750
"6115",72,0,2,3,4,4,10,0,0,8,15,22,1,2018-03-31,23,2684050,1260950
"6116",230,2,3,2,2,7,6,7,3,15,17,32,0,2018-03-31,32,2699650,1259650
"6117",198,1,0,1,3,13,4,3,0,18,7,12,13,2018-03-31,25,2696550,1244650
"6118",121,0,1,4,7,12,9,1,0,24,10,25,9,2018-03-31,34,2702550,1242650
"6119",118,0,7,4,4,8,24,4,1,26,26,30,22,2018-03-31,52,2708150,1235850
"6120",64,3,7,1,1,10,8,5,1,19,17,31,5,2018-03-31,36,2690550,1257350
"6121",261,4,3,0,3,8,13,1,0,12,20,20,12,2018-03-31,32,2684950,1248450
"6122",220,2,0,0,2,7,3,0,0,6,8,14,0,2018-03-31,14,2706750,1263150
"6123",230,0,11,3,3,12,17,10,0,26,30,52,4,2018-03-31,56,2698850,1262450
"6124",112,5,2,2,3,9,6,1,0,15,13,18,10,2018-03-31,28,2703550,1235150
"6125",243,5,1,3,1,8,11,4,0,20,13,31,2,2018-03-31,33,2671450,1250650
"6126",138,5,4,2,4,7,12,4,3,17,24,40,1,2018-03-31,41,2694850,1228950
"6127",195,2,2,0,0,6,4,0,3,9,8,9,8,2018-03-31,17,2694150,1242450
"6128",142,8,3,3,4,19,7,2,0,23,23,30,16,2018-03-31,46,2693150,1232050
"6129",52,3,3,5,5,13,20,13,2,36,28,59,5,2018-03-31,64,2689950,1255750
"6130",248,4,7,0,1,18,15,7,3,27,28,34,21,2018-03-31,55,2677250,1246550
"6131",230,3,1,2,4,5,3,1,1,11,9,19,1,2018-03-31,20,2698450,1262150
"6132",35,0,0,1,2,2,7,1,0,6,7,13,0,2018-03-31,13,2691250,1275950
"6133",59,5,11,0,1,11,12,2,0,24,18,38,4,2018-03-31,42,2681250,1263650
"6134",198,4,1,0,1,15,5,1,0,13,14,19,8,2018-03-31,27,2696950,1244950
"6135",30,2,1,1,0,4,5,3,0,7,9,13,3,2018-03-31,16,2692950,1272350
"6136",139,0,0,0,0,2,6,1,4,3,10,12,1,2018-03-31,13,2684050,1239850
"6137",152,0,2,1,0,4,5,4,0,3,13,12,4,2018-03-31,16,2688950,1238950
"6138",295,1,2,0,3,3,3,3,0,9,6,9,6,2018-03-31,15,2686350,1233750
"6139",39,1,4,1,2,8,8,1,0,14,11,24,1,2018-03-31,25,2699050,1270350
"6140",228,4,2,0,1,8,8,5,0,16,12,10,18,2018-03-31,28,2706050,1254950
"6141",115,5,4,2,0,11,3,9,3,18,19,32,5,2018-03-31,37,2701850,1241050
"6142",191,1,0,0,0,5,2,8,5,9,12,21,0,2018-03-31,21,2689050,1251050
"6143",230,6,7,3,6,9,20,2,0,27,26,47,6,2018-03-31,53,2701050,1257750
"6144",112,17,18,5,6,43,34,22,7,69,83,129,23,2018-03-31,152,2704650,1236250
"6145",142,1,0,1,0,6,8,1,3,7,13,17,3,2018-03-31,20,2692450,1231650
"6146",101,1,1,0,0,1,3,4,2,6,6,7,5,2018-03-31,12,2675850,1261150
"6147",230,6,1,1,4,29,19,3,4,32,35,57,10,2018-03-31,67,2698050,1261250
"6148",31,1,4,1,1,2,8,1,0,11,7,18,0,2018-03-31,18,2693750,1268450
"6149",55,2,3,3,5,9,17,5,0,23,21,40,4,2018-03-31,44,2683150,1268850
"6150",10,2,0,0,0,2,0,6,1,5,6,11,0,2018-03-31,11,2674750,1235550
"6151",62,2,5,1,1,11,12,9,5,21,25,36,10,2018-03-31,46,2686450,1255850
"6152",155,0,0,0,2,16,6,0,2,11,15,15,11,2018-03-31,26,2694150,1234850
"6153",54,0,0,0,0,0,4,5,3,5,7,9,3,2018-03-31,12,2688550,1252950
"6154",156,2,0,0,0,2,2,8,4,10,8,18,0,2018-03-31,18,2690650,1236650
"6155",112,6,10,2,0,15,14,14,1,34,28,35,27,2018-03-31,62,2703250,1234650
"6156",191,9,12,9,10,27,22,3,0,54,38,32,60,2018-03-31,92,2689350,1251050
"6157",261,5,0,2,3,2,0,0,0,2,10,4,8,2018-03-31,12,2679850,1246750
"6158",261,1,0,0,1,21,10,4,2,21,18,25,14,2018-03-31,39,2679850,1250450
"6159",261,11,3,7,4,52,21,5,1,53,51,78,26,2018-03-31,104,2681650,1243650
"6160",223,0,0,0,0,4,6,6,0,7,9,16,0,2018-03-31,16,2693950,1265750
"6161",248,5,2,0,1,10,5,13,1,16,21,31,6,2018-03-31,37,2676350,1247650
"6162",243,2,6,3,2,10,8,2,0,18,15,22,11,2018-03-31,33,2673950,1250250
"6163",247,3,0,1,8,89,17,3,0,67,54,61,60,2018-03-31,121,2675750,1250450
"6164",112,1,5,1,0,4,2,5,1,11,8,19,0,2018-03-31,19,2704450,1235750
"6165",261,0,3,3,2,6,10,2,1,14,13,15,12,2018-03-31,27,2684150,1245550
"6166",155,3,2,1,1,3,9,10,2,15,16,25,6,2018-03-31,31,2696050,1234750
"6167",66,0,1,0,0,16,8,5,1,23,8,11,20,2018-03-31,31,2685250,1254750
"6168",137,4,3,3,1,5,13,1,1,15,16,24,7,2018-03-31,31,2685950,1236350
"6169",82,0,3,0,4,5,10,2,1,16,9,23,2,2018-03-31,25,2673050,1258050
"6170",72,0,3,2,1,1,17,3,0,15,12,27,0,2018-03-31,27,2683650,1260550
"6171",250,0,0,1,0,7,3,11,2,11,13,17,7,2018-03-31,24,2674950,1248150
"6172",158,2,0,0,0,9,7,5,4,13,14,21,6,2018-03-31,27,2697650,1233250
"6173",2,0,0,0,0,4,5,6,3,8,10,18,0,2018-03-31,18,2677150,1236550
"6174",117,1,4,0,0,2,2,1,2,4,8,11,1,2018-03-31,12,2706950,1238450
"6175",230,4,4,0,3,9,5,0,0,9,16,24,1,2018-03-31,25,2696350,1263650
"6176",199,3,12,0,0,13,19,11,1,26,33,59,0,2018-03-31,59,2694850,1249350
"6177",58,2,1,0,0,3,1,5,1,5,8,12,1,2018-03-31,13,2680250,1268150
"6178",152,0,0,0,0,6,2,6,1,8,7,15,0,2018-03-31,15,2688950,1238250
"6179",120,10,14,7,9,23,29,5,4,55,46,30,71,2018-03-31,101,2712150,1236150
"6180",242,0,0,0,1,6,4,0,0,6,5,5,6,2018-03-31,11,2675650,1244750
"6181",220,0,4,0,0,3,1,4,1,4,9,13,0,2018-03-31,13,2709750,1263150
"6182",156,0,0,0,4,2,6,2,1,8,7,14,1,2018-03-31,15,2691150,1236150
"6183",90,2,0,0,0,2,2,3,2,5,6,11,0,2018-03-31,11,2679550,1260050
"6184",10,0,5,3,7,10,11,4,1,20,21,24,17,2018-03-31,41,2674750,1235150
"6185",172,6,4,5,19,23,35,8,6,56,50,70,36,2018-03-31,106,2699650,1249050
"6186",83,0,0,1,1,10,2,1,2,12,5,2,15,2018-03-31,17,2674250,1256750
"6187",161,0,0,0,0,4,5,1,2,6,6,11,1,2018-03-31,12,2686450,1244450
"6188",230,3,6,0,0,7,4,3,0,12,11,22,1,2018-03-31,23,2698450,1262450
"6189",295,2,2,0,0,4,3,2,2,7,8,15,0,2018-03-31,15,2686450,1234050
"6190",261,0,2,1,0,4,7,0,0,8,6,11,3,2018-03-31,14,2687750,1246350
"6191",9,2,0,0,0,5,3,0,2,6,6,11,1,2018-03-31,12,2679750,1234450
"6192",142,2,2,1,1,6,0,0,0,8,4,12,0,2018-03-31,12,2691150,1231750
"6193",218,0,0,0,2,29,4,1,0,35,1,1,35,2018-03-31,36,2705250,1269550
"6194",261,13,11,13,21,28,6,0,0,44,48,0,92,2018-03-31,92,2684450,1252350
"6195",138,0,3,3,3,2,9,0,0,8,12,19,1,2018-03-31,20,2693650,1227350
"6196",53,3,4,1,3,15,18,21,6,35,36,59,12,2018-03-31,71,2683350,1263150
"6197",243,19,18,6,12,51,43,11,9,85,84,97,72,2018-03-31,169,2673550,1250250
"6198",177,1,1,2,2,6,6,7,2,15,12,26,1,2018-03-31,27,2700950,1246950
"6199",191,20,14,11,77,179,37,5,0,200,143,172,171,2018-03-31,343,2687950,1250950
"6200",139,18,4,0,0,26,3,0,1,22,30,33,19,2018-03-31,52,2684350,1240650
"6201",173,1,2,5,1,4,11,0,1,13,12,25,0,2018-03-31,25,2704450,1246550
"6202",53,12,11,2,6,40,32,14,7,62,62,74,50,2018-03-31,124,2682750,1263750
"6203",199,4,10,2,6,17,16,5,0,32,28,20,40,2018-03-31,60,2693550,1249750
"6204",114,0,6,4,0,6,7,2,0,9,16,22,3,2018-03-31,25,2711250,1241250
"6205",261,12,20,2,13,82,39,24,7,88,111,180,19,2018-03-31,199,2684450,1246650
"6206",230,4,7,3,4,16,21,5,4,32,32,35,29,2018-03-31,64,2697650,1260850
"6207",90,5,5,3,5,30,25,8,0,38,43,56,25,2018-03-31,81,2679450,1259550
"6208",261,14,10,4,4,48,43,11,17,80,71,104,47,2018-03-31,151,2683450,1250850
"6209",51,20,23,9,10,56,46,23,3,103,87,71,119,2018-03-31,190,2683350,1262050
"6210",296,6,8,0,6,16,10,3,2,23,28,41,10,2018-03-31,51,2694750,1252050
"6211",230,5,10,2,5,19,13,11,7,35,37,51,21,2018-03-31,72,2698250,1260750
"6212",261,0,0,2,2,6,5,2,0,10,7,12,5,2018-03-31,17,2680850,1252750
"6213",296,3,3,4,1,13,15,9,3,28,23,32,19,2018-03-31,51,2693950,1253550
"6214",261,3,6,1,3,17,30,19,7,44,42,74,12,2018-03-31,86,2683650,1247250
"6215",115,1,6,0,2,7,6,5,0,15,12,23,4,2018-03-31,27,2701850,1240850
"6216",141,4,1,0,2,35,10,6,5,32,31,36,27,2018-03-31,63,2685050,1238750
"6217",135,0,3,0,0,13,10,1,0,15,12,11,16,2018-03-31,27,2683750,1242750
"6218",261,10,3,1,7,69,49,7,2,86,62,84,64,2018-03-31,148,2682250,1249450
"6219",230,4,7,5,3,20,22,6,4,31,40,64,7,2018-03-31,71,2699850,1259650
"6220",197,2,1,0,0,5,21,24,7,33,27,53,7,2018-03-31,60,2691550,1249050
"6221",243,7,15,5,6,20,23,12,4,39,53,54,38,2018-03-31,92,2671750,1250750
"6222",242,7,3,4,0,28,22,11,7,38,44,62,20,2018-03-31,82,2677150,1246150
"6223",8,4,0,0,0,3,2,3,0,7,5,12,0,2018-03-31,12,2675050,1231950
